time,temperature_2m,relative_humidity_2m,wind_speed_10m,city
2026-08-23T19:00,24.9,98,5.3,Chennai
2026-08-23T20:00,25.1,98,8.4,Chennai
2026-08-23T21:00,25.5,96,8.7,Chennai
2026-08-23T22:00,25.5,94,9.9,Chennai
2026-08-23T23:00,25.5,92,11.9,Chennai
2026-08-24T00:00,25.4,92,11.4,Chennai
2026-08-24T01:00,26.3,86,11.2,Chennai
2026-08-24T02:00,27.5,80,10.5,Chennai
2026-08-24T03:00,28.8,73,10.3,Chennai
2026-08-24T04:00,30.3,65,12.4,Chennai
2026-08-24T05:00,31.9,58,15.7,Chennai
2026-08-24T06:00,33.2,53,17.2,Chennai
2026-08-24T07:00,34.0,49,14.8,Chennai
2026-08-24T08:00,34.6,47,10.5,Chennai
2026-08-24T09:00,34.4,48,8.7,Chennai
2026-08-24T10:00,33.3,55,10.1,Chennai
2026-08-24T11:00,31.5,67,12.5,Chennai
2026-08-24T12:00,29.9,78,14.4,Chennai
2026-08-24T13:00,29.0,83,14.7,Chennai
2026-08-24T14:00,28.2,85,14.6,Chennai
2026-08-24T15:00,27.7,86,14.3,Chennai
2026-08-24T16:00,27.2,88,13.4,Chennai
2026-08-24T17:00,26.9,89,12.4,Chennai
2026-08-24T18:00,26.7,89,11.8,Chennai
2026-08-24T19:00,26.6,88,12.2,Chennai
2026-08-24T20:00,26.5,86,13.0,Chennai
2026-08-24T21:00,26.5,85,13.5,Chennai
2026-08-24T22:00,26.4,84,13.4,Chennai
2026-08-24T23:00,26.4,83,13.1,Chennai
2026-08-25T00:00,26.6,81,12.8,Chennai
2026-08-25T01:00,27.1,78,12.0,Chennai
2026-08-25T02:00,27.8,75,11.0,Chennai
2026-08-25T03:00,28.7,71,10.7,Chennai
2026-08-25T04:00,29.9,65,12.7,Chennai
2026-08-25T05:00,31.4,58,16.3,Chennai
2026-08-25T06:00,32.6,54,18.4,Chennai
2026-08-25T07:00,33.5,51,16.9,Chennai
2026-08-25T08:00,34.2,50,13.6,Chennai
2026-08-25T09:00,34.2,51,11.9,Chennai
2026-08-25T10:00,33.2,56,13.8,Chennai
2026-08-25T11:00,31.6,64,17.6,Chennai
2026-08-25T12:00,30.1,72,19.5,Chennai
2026-08-25T13:00,28.9,76,17.0,Chennai
2026-08-25T14:00,27.9,79,13.2,Chennai
2026-08-25T15:00,27.2,81,11.7,Chennai
2026-08-25T16:00,26.9,82,11.0,Chennai
2026-08-25T17:00,26.9,83,10.7,Chennai
2026-08-25T18:00,26.9,83,10.8,Chennai
2026-08-25T19:00,26.8,84,11.2,Chennai
2026-08-25T20:00,26.6,84,11.7,Chennai
2026-08-25T21:00,26.5,84,12.1,Chennai
2026-08-25T22:00,26.5,82,12.7,Chennai
2026-08-25T23:00,26.6,79,13.6,Chennai
2026-08-26T00:00,26.9,75,14.0,Chennai
2026-08-26T01:00,27.4,74,12.6,Chennai
2026-08-26T02:00,28.0,72,10.4,Chennai
2026-08-26T03:00,28.9,69,9.3,Chennai
2026-08-26T04:00,30.3,63,10.3,Chennai
2026-08-26T05:00,31.9,56,13.1,Chennai
2026-08-26T06:00,33.0,52,15.4,Chennai
2026-08-26T07:00,34.3,47,15.5,Chennai
2026-08-26T08:00,34.5,47,12.1,Chennai
2026-08-26T09:00,34.5,48,8.3,Chennai
2026-08-26T10:00,34.3,49,6.2,Chennai
2026-08-26T11:00,33.9,51,7.1,Chennai
2026-08-26T12:00,33.4,54,8.6,Chennai
2026-08-26T13:00,32.5,57,9.5,Chennai
2026-08-26T14:00,31.3,62,10.4,Chennai
2026-08-26T15:00,30.0,67,11.2,Chennai
2026-08-26T16:00,28.6,73,12.3,Chennai
2026-08-26T17:00,27.4,79,13.8,Chennai
2026-08-26T18:00,26.6,83,14.5,Chennai
2026-08-26T19:00,26.1,85,14.7,Chennai
2026-08-26T20:00,25.7,86,14.1,Chennai
2026-08-26T21:00,25.6,86,13.5,Chennai
2026-08-26T22:00,25.6,85,12.6,Chennai
2026-08-26T23:00,25.9,83,12.1,Chennai
